locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLDAINPC_02590	CDS	696	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
MLDAINPC_02591	CDS	681	narV	1.7.5.1	COG2181	Respiratory nitrate reductase 2 gamma chain
MLDAINPC_02592	CDS	894	yddE	5.1.-.-	COG0384	putative isomerase YddE
MLDAINPC_02593	CDS	846	nhoA	2.3.1.118		Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase
MLDAINPC_02594	CDS	633				hypothetical protein
MLDAINPC_02595	CDS	1494	ansP2		COG1113	L-asparagine permease 2
MLDAINPC_02596	CDS	222	ygdR_2			putative lipoprotein YgdR
MLDAINPC_02597	CDS	1062	yncE		COG3391	putative protein YncE
MLDAINPC_02598	CDS	2166	pqqU		COG4772	Pyrroloquinoline quinone transporter
MLDAINPC_02599	CDS	666	mcbR		COG1802	HTH-type transcriptional regulator McbR
MLDAINPC_02600	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
MLDAINPC_02601	CDS	516	yncA	2.3.1.-		L-methionine sulfoximine/L-methionine sulfone acetyltransferase
MLDAINPC_02602	CDS	450	ydcZ		COG3238	Inner membrane protein YdcZ
MLDAINPC_02603	CDS	234	ydcY			putative protein YdcY
MLDAINPC_02604	CDS	1320				hypothetical protein
MLDAINPC_02605	CDS	2982				hypothetical protein
MLDAINPC_02606	CDS	2145				hypothetical protein
MLDAINPC_02607	CDS	174	ortT			Orphan toxin OrtT
MLDAINPC_02608	CDS	1425	patD	1.2.1.19		Gamma-aminobutyraldehyde dehydrogenase
MLDAINPC_02609	CDS	1425	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
MLDAINPC_02610	CDS	771	vanX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
MLDAINPC_02611	CDS	399				hypothetical protein
MLDAINPC_02612	CDS	174				hypothetical protein
MLDAINPC_02613	CDS	621	sifB			Secreted effector protein SifB
MLDAINPC_02614	CDS	231				hypothetical protein
MLDAINPC_02615	CDS	1965	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
MLDAINPC_02616	CDS	537	sutR_2		COG1396	HTH-type transcriptional regulator SutR
MLDAINPC_02617	CDS	1179	ydcO		COG3135	Inner membrane protein YdcO
MLDAINPC_02618	CDS	669				hypothetical protein
MLDAINPC_02619	CDS	597	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
MLDAINPC_02620	CDS	1014	tehA		COG1275	Tellurite resistance protein TehA
MLDAINPC_02621	CDS	981				hypothetical protein
MLDAINPC_02622	CDS	540	rimL	2.3.1.-	COG1670	Ribosomal-protein-serine acetyltransferase
MLDAINPC_02623	CDS	1119	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
MLDAINPC_02624	CDS	282	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
MLDAINPC_02625	CDS	1314	gatC_1		COG3775	PTS system galactitol-specific EIIC component
MLDAINPC_02626	CDS	807				hypothetical protein
MLDAINPC_02627	CDS	438	ulaC_2		COG1762	Ascorbate-specific PTS system EIIA component
MLDAINPC_02628	CDS	633	rpe_1	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
MLDAINPC_02629	CDS	792	srlR_1		COG1349	Glucitol operon repressor
MLDAINPC_02630	CDS	438		2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
MLDAINPC_02631	CDS	1206	haox	1.1.3.-		L-lactate oxidase
MLDAINPC_02632	CDS	567	yceI_2		COG2353	Protein YceI
MLDAINPC_02633	CDS	1620	mdoD		COG3131	Glucans biosynthesis protein D
MLDAINPC_02634	CDS	1509	pnbA	3.1.1.-	COG2272	Para-nitrobenzyl esterase
MLDAINPC_02635	CDS	1344	ydcJ	1.13.11.93	COG5383	2-oxoadipate dioxygenase/decarboxylase
MLDAINPC_02636	CDS	924	gbpR_1			HTH-type transcriptional regulator GbpR
MLDAINPC_02637	CDS	1626	trg_1		COG0840	Methyl-accepting chemotaxis protein III
MLDAINPC_02638	CDS	1119	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
MLDAINPC_02639	CDS	276	frmR		COG1937	Transcriptional repressor FrmR
MLDAINPC_02640	CDS	126				hypothetical protein
MLDAINPC_02641	CDS	717				hypothetical protein
MLDAINPC_02642	CDS	1227	sseJ	3.-.-.-		Secreted effector protein SseJ
MLDAINPC_02643	CDS	345				hypothetical protein
MLDAINPC_02644	CDS	762	dalS			ABC transporter D-alanine-binding periplasmic protein
MLDAINPC_02645	CDS	633	tcyL_1		COG0765	L-cystine transport system permease protein TcyL
MLDAINPC_02646	CDS	732	glnQ_2			Glutamine transport ATP-binding protein GlnQ
MLDAINPC_02647	CDS	681	tcyL_2		COG0765	L-cystine transport system permease protein TcyL
MLDAINPC_02648	CDS	1551				hypothetical protein
MLDAINPC_02649	CDS	96				hypothetical protein
MLDAINPC_02650	CDS	663	aurI	2.1.1.353		Demethylluteothin O-methyltransferase
MLDAINPC_02651	CDS	531	cybB	1.10.3.17	COG3038	Superoxide oxidase CybB
MLDAINPC_02652	CDS	801	ydcF		COG1434	Protein YdcF
MLDAINPC_02653	CDS	3903	hrpA	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpA
MLDAINPC_02654	CDS	606	azoR	1.6.5.-		FMN-dependent NADH:quinone oxidoreductase
MLDAINPC_02655	CDS	450				hypothetical protein
MLDAINPC_02656	CDS	324				hypothetical protein
MLDAINPC_02657	CDS	192	ynbE			Outer membrane lipoprotein YnbE
MLDAINPC_02658	CDS	2637	ydbH		COG2911	putative phospholipid transport protein YdbH
MLDAINPC_02659	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
MLDAINPC_02660	CDS	411	hslJ		COG3187	Heat shock protein HslJ
MLDAINPC_02661	CDS	267				hypothetical protein
MLDAINPC_02662	CDS	3525	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
MLDAINPC_02663	CDS	435	uspF			Universal stress protein F
MLDAINPC_02664	CDS	339	emrE_2		COG2076	Multidrug transporter EmrE
MLDAINPC_02665	CDS	936	ttcA	2.8.1.-		tRNA-cytidine(32) 2-sulfurtransferase
MLDAINPC_02666	CDS	1374	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
MLDAINPC_02667	CDS	984	zntB			Zinc transport protein ZntB
MLDAINPC_02668	CDS	1155	tap		COG0840	Methyl-accepting chemotaxis protein IV
MLDAINPC_02669	CDS	564	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
MLDAINPC_02670	CDS	516	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
MLDAINPC_02671	CDS	753	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
MLDAINPC_02672	CDS	948	uspE			Universal stress protein E
MLDAINPC_02673	CDS	255				hypothetical protein
MLDAINPC_02674	CDS	1032	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
MLDAINPC_02675	CDS	603	sutR_3		COG1396	HTH-type transcriptional regulator SutR
MLDAINPC_02676	CDS	687				hypothetical protein
MLDAINPC_02677	CDS	519	tpx_1	1.11.1.24		Thiol peroxidase
MLDAINPC_02678	CDS	825				hypothetical protein
MLDAINPC_02679	CDS	1983				hypothetical protein
MLDAINPC_02680	CDS	846				hypothetical protein
MLDAINPC_02681	CDS	852	rob_2		COG2207	Right origin-binding protein
MLDAINPC_02682	CDS	1056				hypothetical protein
MLDAINPC_02683	CDS	237	ygdR_3			putative lipoprotein YgdR
MLDAINPC_02684	CDS	591	bdcR		COG1309	HTH-type transcriptional repressor BdcR
MLDAINPC_02685	CDS	714	bdcA		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
MLDAINPC_02686	CDS	837	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
MLDAINPC_02687	CDS	906				HTH-type transcriptional regulator
MLDAINPC_02688	CDS	930				hypothetical protein
MLDAINPC_02689	CDS	1614	mppA		COG4166	Periplasmic murein peptide-binding protein MppA
MLDAINPC_02690	CDS	729	mpaA	3.4.17.-	COG2866	Murein peptide amidase A
MLDAINPC_02691	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
MLDAINPC_02692	CDS	507	tpx_2	1.11.1.24	COG2077	Thiol peroxidase
MLDAINPC_02693	CDS	1542	tyrR		COG3283	HTH-type transcriptional regulatory protein TyrR
MLDAINPC_02694	CDS	1062				hypothetical protein
MLDAINPC_02695	CDS	1398	ycjX	3.6.5.2	COG3106	Ras-like GTPase YcjX
MLDAINPC_02696	CDS	315	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
MLDAINPC_02697	CDS	219	pspD			Phage shock protein D
MLDAINPC_02698	CDS	360	pspC		COG1983	Phage shock protein C
MLDAINPC_02699	CDS	225	pspB			Phage shock protein B
MLDAINPC_02700	CDS	669	pspA		COG1842	Phage shock protein A
MLDAINPC_02701	CDS	981	pspF		COG1221	Psp operon transcriptional activator
MLDAINPC_02702	CDS	1650	sapA			Peptide transport periplasmic protein SapA
MLDAINPC_02703	CDS	966	sapB			Peptide transport system permease protein SapB
MLDAINPC_02704	CDS	891	sapC			Peptide transport system permease protein SapC
MLDAINPC_02705	CDS	993	sapD			Peptide transport system ATP-binding protein SapD
MLDAINPC_02706	CDS	807	sapF			Peptide transport system ATP-binding protein SapF
MLDAINPC_02707	CDS	708	ydiV_2		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
MLDAINPC_02708	CDS	1374	steC	2.7.-.-		Secreted effector kinase SteC
MLDAINPC_02709	CDS	789	fabI	1.3.1.9		Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
MLDAINPC_02710	CDS	1134				hypothetical protein
MLDAINPC_02711	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
MLDAINPC_02712	CDS	1983	pdeR	3.1.4.52	COG5001	Cyclic di-GMP phosphodiesterase PdeR
MLDAINPC_02713	CDS	180				hypothetical protein
MLDAINPC_02714	CDS	723	srlR_2		COG1349	Glucitol operon repressor
MLDAINPC_02715	CDS	219	osmB			Osmotically-inducible lipoprotein B
MLDAINPC_02716	CDS	327	yciH		COG0023	putative protein YciH
MLDAINPC_02717	CDS	738	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
MLDAINPC_02718	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
MLDAINPC_02719	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
MLDAINPC_02720	CDS	765	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
MLDAINPC_02721	CDS	591	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
MLDAINPC_02722	CDS	2676	acnA	4.2.1.3		Aconitate hydratase A
MLDAINPC_02723	CDS	129	ymiA			Protein YmiA
MLDAINPC_02724	CDS	975	cysB			HTH-type transcriptional regulator CysB
MLDAINPC_02725	CDS	2598	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
MLDAINPC_02726	CDS	252	yciN			Protein YciN
MLDAINPC_02727	CDS	1041	sohB	3.4.21.-	COG0616	putative protease SohB
MLDAINPC_02728	CDS	762	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
MLDAINPC_02729	CDS	591	btuR	2.5.1.17		Corrinoid adenosyltransferase CobA
MLDAINPC_02730	CDS	876	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
MLDAINPC_02731	CDS	621	yciO		COG0009	putative protein YciO
MLDAINPC_02732	CDS	870	rnm	3.1.13.-	COG0613	5'-3' exoribonuclease Rnm
MLDAINPC_02733	CDS	1563	trpE	4.1.3.27		Anthranilate synthase component 1
MLDAINPC_02734	CDS	1596	trpGD			Bifunctional protein TrpGD
MLDAINPC_02735	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
MLDAINPC_02736	CDS	1194	trpB	4.2.1.20		Tryptophan synthase beta chain
MLDAINPC_02737	CDS	807	trpA	4.2.1.20		Tryptophan synthase alpha chain
MLDAINPC_02738	CDS	183				Putative virulence-regulating protein
MLDAINPC_02739	CDS	504	yciF		COG3685	Protein YciF
MLDAINPC_02740	CDS	507	yciE		COG3685	Protein YciE
MLDAINPC_02741	CDS	879		1.11.1.6		Manganese catalase
MLDAINPC_02742	CDS	639	ompW		COG3047	Outer membrane protein W
MLDAINPC_02743	CDS	405				hypothetical protein
MLDAINPC_02744	CDS	744				hypothetical protein
MLDAINPC_02745	CDS	540	yciB		COG2917	Inner membrane-spanning protein YciB
MLDAINPC_02746	CDS	402		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
MLDAINPC_02747	CDS	735	tonB			Protein TonB
MLDAINPC_02748	CDS	297	yciI		COG2350	Protein YciI
MLDAINPC_02749	CDS	174				hypothetical protein
MLDAINPC_02750	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
MLDAINPC_02751	CDS	330	yciU		COG3099	Putative double-stranded DNA mimic protein YciU
MLDAINPC_02752	CDS	837				hypothetical protein
MLDAINPC_02753	CDS	1005	oppF_2	7.4.2.6		Oligopeptide transport ATP-binding protein OppF
MLDAINPC_02754	CDS	1008	oppD	7.4.2.6		Oligopeptide transport ATP-binding protein OppD
MLDAINPC_02755	CDS	909	oppC			Oligopeptide transport system permease protein OppC
MLDAINPC_02756	CDS	921	oppB			Oligopeptide transport system permease protein OppB
MLDAINPC_02757	CDS	1632	oppA			Periplasmic oligopeptide-binding protein OppA
MLDAINPC_02758	CDS	648				hypothetical protein
MLDAINPC_02759	CDS	2679	adhE		COG1012	Bifunctional aldehyde-alcohol dehydrogenase AdhE
MLDAINPC_02760	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
MLDAINPC_02761	CDS	414	hns			DNA-binding protein H-NS
MLDAINPC_02762	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MLDAINPC_02763	CDS	1014	rssB		COG0745	Regulator of RpoS
MLDAINPC_02764	CDS	897			COG1752	putative NTE family protein
MLDAINPC_02765	CDS	459				hypothetical protein
MLDAINPC_02766	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
MLDAINPC_02767	tRNA	85				tRNA-Tyr(gta)
MLDAINPC_02768	tRNA	85				tRNA-Tyr(gta)
MLDAINPC_02769	CDS	1530				hypothetical protein
MLDAINPC_02770	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
MLDAINPC_02771	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
MLDAINPC_02772	CDS	1536	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
MLDAINPC_02773	CDS	3744	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
MLDAINPC_02774	CDS	1398	narK		COG2223	Nitrate/nitrite antiporter NarK
MLDAINPC_02775	CDS	1797	narX	2.7.13.3	COG3850	Nitrate/nitrite sensor protein NarX
MLDAINPC_02776	CDS	651	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
MLDAINPC_02777	CDS	1425				Invasin
MLDAINPC_02778	CDS	354	ychN		COG1553	Protein YchN
MLDAINPC_02779	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
MLDAINPC_02780	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
MLDAINPC_02781	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
MLDAINPC_02782	CDS	810				hypothetical protein
MLDAINPC_02783	CDS	390	ychQ		COG3094	Protein YchQ
MLDAINPC_02784	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MLDAINPC_02785	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
MLDAINPC_02786	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
MLDAINPC_02787	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
MLDAINPC_02788	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
MLDAINPC_02789	CDS	948	prs	2.7.6.1		Ribose-phosphate pyrophosphokinase
MLDAINPC_02790	CDS	1659	dauA		COG0659	C4-dicarboxylic acid transporter DauA
MLDAINPC_02791	CDS	279				hypothetical protein
MLDAINPC_02792	CDS	585	pth	3.1.1.29		Peptidyl-tRNA hydrolase
MLDAINPC_02793	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
MLDAINPC_02794	CDS	1266				hypothetical protein
MLDAINPC_02795	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
MLDAINPC_02796	CDS	1794	hyaB_2	1.12.99.6	COG0374	Hydrogenase-1 large chain
MLDAINPC_02797	CDS	732	hyaC_2		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
MLDAINPC_02798	CDS	597	hyaD_2	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
MLDAINPC_02799	CDS	456	hyaE		COG1999	Hydrogenase-1 operon protein HyaE
MLDAINPC_02800	CDS	849				hypothetical protein
MLDAINPC_02801	CDS	1545	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
MLDAINPC_02802	CDS	1137	appB_2	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
MLDAINPC_02803	CDS	90	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
MLDAINPC_02804	CDS	1275	gdhA_2	1.4.1.3	COG0334	Glutamate dehydrogenase
MLDAINPC_02805	CDS	1713	treA	3.2.1.28	COG1626	Periplasmic trehalase
MLDAINPC_02806	CDS	255				hypothetical protein
MLDAINPC_02807	CDS	735	ycgR			Flagellar brake protein YcgR
MLDAINPC_02808	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
MLDAINPC_02809	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
MLDAINPC_02810	CDS	1734	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
MLDAINPC_02811	CDS	1071	dadX	5.1.1.1		Alanine racemase, catabolic
MLDAINPC_02812	CDS	1299	dadA_2	1.4.99.-	COG0665	D-amino acid dehydrogenase
MLDAINPC_02813	CDS	1533				hypothetical protein
MLDAINPC_02814	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
MLDAINPC_02815	CDS	1545	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
MLDAINPC_02816	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
MLDAINPC_02817	CDS	342	yeaR_2		COG3615	putative protein YeaR
MLDAINPC_02818	CDS	174	gnsA			Protein GnsA
MLDAINPC_02819	CDS	138				hypothetical protein
MLDAINPC_02820	CDS	447				hypothetical protein
MLDAINPC_02821	CDS	660	ycgM	5.3.2.2	COG0179	Oxaloacetate tautomerase YcgM
MLDAINPC_02822	CDS	294	ycgL		COG3100	Protein YcgL
MLDAINPC_02823	CDS	708	minC			Septum site-determining protein MinC
MLDAINPC_02824	CDS	813	minD		COG2894	Septum site-determining protein MinD
MLDAINPC_02825	CDS	267	minE		COG0851	Cell division topological specificity factor
MLDAINPC_02826	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
MLDAINPC_02827	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MLDAINPC_02828	CDS	582	slp		COG3065	Outer membrane protein Slp
MLDAINPC_02829	CDS	696	tsaB			tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
MLDAINPC_02830	CDS	1911	yoaA	5.6.2.3	COG1199	ATP-dependent DNA helicase YoaA
MLDAINPC_02831	CDS	345	ridA_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MLDAINPC_02832	CDS	180				hypothetical protein
MLDAINPC_02833	CDS	1365	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
MLDAINPC_02834	CDS	579		3.6.1.77	COG0494	Nudix hydrolase
MLDAINPC_02835	CDS	1365	sdaA_1	4.3.1.17	COG1760	L-serine dehydratase 1
MLDAINPC_02836	CDS	1602	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
MLDAINPC_02837	CDS	1560				hypothetical protein
MLDAINPC_02838	CDS	969	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
MLDAINPC_02839	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
MLDAINPC_02840	CDS	852	manZ_3		COG3716	PTS system mannose-specific EIID component
MLDAINPC_02841	CDS	459				hypothetical protein
MLDAINPC_02842	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
MLDAINPC_02843	CDS	810	rlmA	2.1.1.187	COG2226	23S rRNA (guanine(745)-N(1))-methyltransferase
MLDAINPC_02844	CDS	1746	ftsI_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
MLDAINPC_02845	CDS	210	cspC		COG1278	Cold shock-like protein CspC
MLDAINPC_02846	CDS	288				hypothetical protein
MLDAINPC_02847	CDS	144	mgrB			PhoP/PhoQ regulator MgrB
MLDAINPC_02848	CDS	240				hypothetical protein
MLDAINPC_02849	CDS	792	kdgR		COG1414	HTH-type transcriptional regulator KdgR
MLDAINPC_02850	CDS	1374	ribZ		COG2814	Riboflavin transporter RibZ
MLDAINPC_02851	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
MLDAINPC_02852	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
MLDAINPC_02853	CDS	687	proQ		COG3109	RNA chaperone ProQ
MLDAINPC_02854	CDS	570	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
MLDAINPC_02855	CDS	1284	letA		COG2995	Lipophilic envelope-spanning tunnel protein A
MLDAINPC_02856	CDS	2634	letB		COG3008	Lipophilic envelope-spanning tunnel protein B
MLDAINPC_02857	CDS	1542	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
MLDAINPC_02858	CDS	240	yebV			putative protein YebV
MLDAINPC_02859	CDS	192				hypothetical protein
MLDAINPC_02860	CDS	651	pphA	3.1.3.16		Serine/threonine-protein phosphatase 1
MLDAINPC_02861	CDS	234				hypothetical protein
MLDAINPC_02862	CDS	165				hypothetical protein
MLDAINPC_02863	CDS	723	sopE2			Guanine nucleotide exchange factor sopE2
MLDAINPC_02864	CDS	396	ydfO		COG5562	putative protein YdfO
MLDAINPC_02865	CDS	477				hypothetical protein
MLDAINPC_02866	CDS	420				hypothetical protein
MLDAINPC_02867	CDS	147				hypothetical protein
MLDAINPC_02868	CDS	858				IS256 family transposase IS285
MLDAINPC_02869	CDS	369				hypothetical protein
MLDAINPC_02870	CDS	915				hypothetical protein
MLDAINPC_02871	CDS	159				hypothetical protein
MLDAINPC_02872	CDS	615				hypothetical protein
MLDAINPC_02873	CDS	123				hypothetical protein
MLDAINPC_02874	CDS	159				hypothetical protein
MLDAINPC_02875	CDS	882				hypothetical protein
MLDAINPC_02876	CDS	264				hypothetical protein
MLDAINPC_02877	CDS	168				hypothetical protein
MLDAINPC_02878	CDS	534				hypothetical protein
MLDAINPC_02879	CDS	231				hypothetical protein
MLDAINPC_02880	CDS	654				hypothetical protein
MLDAINPC_02881	CDS	855				hypothetical protein
MLDAINPC_02882	CDS	354	yebY			putative protein YebY
MLDAINPC_02883	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
MLDAINPC_02884	CDS	375	yobA		COG2372	Protein YobA
MLDAINPC_02885	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
MLDAINPC_02886	CDS	657				hypothetical protein
MLDAINPC_02887	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
MLDAINPC_02888	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
MLDAINPC_02889	CDS	660	yebE		COG2979	Inner membrane protein YebE
MLDAINPC_02890	CDS	354	yebF			Protein YebF
MLDAINPC_02891	CDS	291				hypothetical protein
MLDAINPC_02892	CDS	1179	purT	6.3.1.21	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
MLDAINPC_02893	CDS	642	eda	4.1.3.42	COG0800	KHG/KDPG aldolase
MLDAINPC_02894	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
MLDAINPC_02895	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
MLDAINPC_02896	CDS	870	hexR_2		COG1737	HTH-type transcriptional regulator HexR
MLDAINPC_02897	CDS	1443	pykA	2.7.1.40		Pyruvate kinase II
MLDAINPC_02898	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
MLDAINPC_02899	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
MLDAINPC_02900	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
MLDAINPC_02901	CDS	756	znuC	7.2.2.20		Zinc import ATP-binding protein ZnuC
MLDAINPC_02902	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
MLDAINPC_02903	CDS	1011	ruvB	3.6.4.-	COG2255	Holliday junction branch migration complex subunit RuvB
MLDAINPC_02904	CDS	612	ruvA			Holliday junction branch migration complex subunit RuvA
MLDAINPC_02905	CDS	984				hypothetical protein
MLDAINPC_02906	CDS	600				hypothetical protein
MLDAINPC_02907	CDS	522	ruvC	3.1.21.10	COG0817	Crossover junction endodeoxyribonuclease RuvC
MLDAINPC_02908	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
MLDAINPC_02909	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
MLDAINPC_02910	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
MLDAINPC_02911	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
MLDAINPC_02912	CDS	819				hypothetical protein
MLDAINPC_02913	CDS	396	yecN		COG3788	Inner membrane protein YecN
MLDAINPC_02914	CDS	744	cmoA	2.1.3.-	COG2226	Carboxy-S-adenosyl-L-methionine synthase
MLDAINPC_02915	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
MLDAINPC_02916	CDS	747	cutC			PF03932 family protein CutC
MLDAINPC_02917	CDS	570	yecM		COG3102	Protein YecM
MLDAINPC_02918	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
MLDAINPC_02919	CDS	1872	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
MLDAINPC_02920	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
MLDAINPC_02921	CDS	393	flhE			Flagellar protein FlhE
MLDAINPC_02922	CDS	2079	flhA			Flagellar biosynthesis protein FlhA
MLDAINPC_02923	CDS	1152	flhB			Flagellar biosynthetic protein FlhB
MLDAINPC_02924	CDS	648	cheZ	3.1.3.-		Protein phosphatase CheZ
MLDAINPC_02925	CDS	390	cheY			Chemotaxis protein CheY
MLDAINPC_02926	CDS	1050	cheB	3.1.1.61		Protein-glutamate methylesterase/protein-glutamine glutaminase
MLDAINPC_02927	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
MLDAINPC_02928	CDS	1662	tar			Methyl-accepting chemotaxis protein II
MLDAINPC_02929	CDS	504	cheW			Chemotaxis protein CheW
MLDAINPC_02930	CDS	2016	cheA	2.7.13.3		Chemotaxis protein CheA
MLDAINPC_02931	CDS	930	motB			Motility protein B
MLDAINPC_02932	CDS	888	motA		COG1291	Motility protein A
MLDAINPC_02933	CDS	579	flhC			Flagellar transcriptional regulator FlhC
